"geneSet","mean","median","meanabs","meansqr","maxmean","sig_n","sign_test","rank_sum","ks_orig","ks_weighted"
"GO:0003727",0.714285714285714,0.714285714285714,0,0,0,0,0.571428571428571,0,0.571428571428571,0.714285714285714
"GO:0003729",0.857142857142857,0.714285714285714,0,0,0,0,0,0,0.714285714285714,0.571428571428571
"GO:0003730",0.571428571428571,0,0,0,0,0,0.142857142857143,0,0.428571428571429,0.571428571428571
"GO:0003735",0.714285714285714,0.571428571428571,0.285714285714286,0.285714285714286,0,0.142857142857143,0.714285714285714,0,0.714285714285714,0.714285714285714
"GO:0003774",0.428571428571429,0.285714285714286,0,0,0,0.142857142857143,0,0,0.285714285714286,0.428571428571429
"GO:0003779",0,0,0,0,0,0,0,0,0,0
"GO:0003924",0.571428571428571,0.285714285714286,0,0,0,0,0.142857142857143,0,0,0.142857142857143
"GO:0004175",0,0,0,0,0,0,0,0,0,0
"GO:0004197",0,0,0,0,0,0,0,0,0,0
"GO:0004222",0,0,0,0,0,0,0,0,0,0
"GO:0004252",0,0,0.285714285714286,0.428571428571429,0.142857142857143,0,0,0,0,0
"GO:0004386",0.142857142857143,0.285714285714286,0,0,0,0,0,0,0.142857142857143,0.142857142857143
"GO:0004497",0,0,0,0,0,0,0,0,0,0
"GO:0004518",0,0.142857142857143,0,0,0,0,0,0,0,0
"GO:0004519",0,0,0,0,0,0,0,0,0,0
"GO:0004540",0,0,0,0,0,0,0,0,0,0
"GO:0004620",0,0,0,0,0,0,0,0,0,0
"GO:0004674",0.428571428571429,0.142857142857143,0,0,0,0,0.428571428571429,0,0.571428571428571,0.428571428571429
"GO:0004713",0,0,0,0,0,0,0,0,0,0
"GO:0004714",0,0,0,0,0,0,0,0,0,0
"GO:0004721",0,0,0,0,0,0,0,0,0,0
"GO:0004722",0,0,0,0,0.142857142857143,0,0,0,0,0
"GO:0004725",0,0,0,0,0,0,0,0,0,0
"GO:0004842",0,0,0,0,0,0,0,0,0,0
"GO:0004843",0,0,0,0,0,0,0,0,0,0
"GO:0004857",0,0,0,0,0,0,0,0,0,0
"GO:0004860",0,0,0,0,0,0,0,0,0,0
"GO:0004866",0,0,0,0,0,0,0,0,0,0
"GO:0004879",0,0.428571428571429,0.285714285714286,0.428571428571429,0.142857142857143,0,0,0,0,0
"GO:0004896",0.285714285714286,0.285714285714286,0,0,0,0,0,0,0.285714285714286,0.285714285714286
"GO:0004930",0.428571428571429,0,0,0,0,0,0.571428571428571,0,0.285714285714286,0.142857142857143
"GO:0005080",0,0,0,0,0,0,0,0,0,0
"GO:0005085",0,0,0,0,0,0,0,0,0,0
"GO:0005096",0,0,0,0,0,0,0,0,0,0
"GO:0005125",0.142857142857143,0,0,0,0,0,0,0,0,0.428571428571429
"GO:0005126",0,0,0,0,0,0,0,0,0,0
"GO:0005178",0,0,0,0,0,0,0,0,0,0.142857142857143
"GO:0005179",0,0,0,0.142857142857143,0.142857142857143,0.142857142857143,0,0,0,0
"GO:0005200",0,0,0,0.142857142857143,0,0,0,0,0,0.142857142857143
"GO:0005201",0,0,0,0,0,0,0,0,0,0
